cell_type	score
Xcr1+ cDC1	0.361199699532975
Cd209a+ cDC2	0.34052425797689
Xcr1+ cDC1	0.301760036545803
Xcr1+ cDC1	0.0685407684222973
Cd209a+ cDC2	0.199881889841983
Cd209a+ cDC2	0.41623657115857
Ccr7+ cDC1	-0.54239300613697
Ccr7+ cDC1	-0.498437218171351
Cd209a+ cDC2	0.398465079564958
Xcr1+ cDC1	0.200276584581809
Mki67+ cDC	0.106044350197027
Mki67+ cDC	-0.230638943375276
Xcr1+ cDC1	0.372220039019928
Cd209a+ cDC2	-0.041612444517139
Xcr1+ cDC1	0.219730024433546
Xcr1+ cDC1	0.405167020264051
Xcr1+ cDC1	0.208217818511971
Ccr7+ cDC1	-0.0774320619735762
Cd209a+ cDC2	0.514525133700772
Xcr1+ cDC1	0.0541724976080671
Xcr1+ cDC1	0.258052647544142
Xcr1+ cDC1	0.0696084457378837
Xcr1+ cDC1	0.0852450703714243
Xcr1+ cDC1	0.294704272537143
Ccr7+ cDC1	-0.214136427995903
Xcr1+ cDC1	-0.029699558793218
Ccr7+ cDC1	-0.562430750796866
Mki67+ cDC	-0.0891722514997585
Ccr7+ cDC1	-0.381054363325568
Ccr7+ cDC1	-0.583346523249937
Xcr1+ cDC1	-0.113342017768329
Xcr1+ cDC1	0.43086920725676
Mki67+ cDC	0.204363680319392
Xcr1+ cDC1	0.459029900726187
Ccr7+ cDC1	-0.506154201251741
Mki67+ cDC	-0.0578943987569853
Mki67+ cDC	0.0455066366163648
Cd209a+ cDC2	0.25203847989696
Xcr1+ cDC1	0.379862459455054
Ccr7+ cDC1	-0.453794238144298
Xcr1+ cDC1	0.225639114594312
Mki67+ cDC	0.29902933124003
Ccr7+ cDC1	-0.575982963904578
Cd209a+ cDC2	-0.1582866876159
Xcr1+ cDC1	0.378061879111187
Cd209a+ cDC2	0.498027869165835
Xcr1+ cDC1	0.399607128253911
Ccr7+ cDC1	-0.453001724305081
Xcr1+ cDC1	-0.0371285004033378
Cd209a+ cDC2	0.156884363136034
Xcr1+ cDC1	0.277305669669067
Cd209a+ cDC2	0.26531493156296
Cd209a+ cDC2	-0.497956764408721
Xcr1+ cDC1	-0.200682961310949
Mki67+ cDC	-0.0956060235428478
Ccr7+ cDC1	-0.765375434444259
Xcr1+ cDC1	0.0588583688043374
Xcr1+ cDC1	0.400797011542976
Xcr1+ cDC1	0.302089848107834
Mki67+ cDC	-0.0378379066703225
Xcr1+ cDC1	0.147031561871371
Xcr1+ cDC1	0.154628463453757
Cd209a+ cDC2	0.363678482378312
Mki67+ cDC	0.253203268965921
Xcr1+ cDC1	0.142040310676853
Ccr7+ cDC1	-0.382388079084279
Ccr7+ cDC1	-0.551413851932102
Cd209a+ cDC2	0.380990390633876
Xcr1+ cDC1	-0.109436528180455
Mki67+ cDC	-0.106904830646478
Ccr7+ cDC1	0.161356489430543
Xcr1+ cDC1	-0.292044116615915
Mki67+ cDC	-0.0742419193601899
Xcr1+ cDC1	0.210433523675665
Cd209a+ cDC2	0.499898980021613
Mki67+ cDC	0.320525016806429
Ccr7+ cDC1	-0.597014504921946
Cd209a+ cDC2	0.341046497246667
Mki67+ cDC	0.15229691687969
Xcr1+ cDC1	0.251660598653545
Mki67+ cDC	0.280480787655422
Xcr1+ cDC1	0.120609444223609
Xcr1+ cDC1	0.104429911072539
Mki67+ cDC	0.0268330459623172
Cd209a+ cDC2	-0.376712029322456
Ccr7+ cDC1	-0.306978894542425
Cd209a+ cDC2	0.187618577513504
Xcr1+ cDC1	0.122525778882787
Xcr1+ cDC1	0.388300296203912
Xcr1+ cDC1	0.0611332476939741
Xcr1+ cDC1	0.333290875179188
Xcr1+ cDC1	0.464457757654721
Xcr1+ cDC1	0.115507844325571
Xcr1+ cDC1	0.267412085030938
Xcr1+ cDC1	0.133739038366953
Mki67+ cDC	0.413947363973483
Xcr1+ cDC1	0.0390701900760327
Ccr7+ cDC1	-0.746598726020073
Cd209a+ cDC2	-0.523422176387584
Xcr1+ cDC1	0.458827406139209
Mki67+ cDC	0.207345569010841
Ccr7+ cDC1	-0.524916218247703
Xcr1+ cDC1	0.210614895844712
Cd209a+ cDC2	0.56975525397407
Cd209a+ cDC2	0.497780592120961
Xcr1+ cDC1	0.49954802220322
Ccr7+ cDC1	-0.340141452717036
Mki67+ cDC	-0.316536099223799
Ccr7+ cDC1	-0.552710814482216
Xcr1+ cDC1	0.283842023231549
Xcr1+ cDC1	0.17323719746526
Ccr7+ cDC1	-0.771361940607189
Xcr1+ cDC1	0.147682802508048
Cd209a+ cDC2	0.461743940903436
Xcr1+ cDC1	0.234510623477577
Cd209a+ cDC2	-0.263475744320549
Xcr1+ cDC1	0.340376371266697
Ccr7+ cDC1	0.44510695611521
Xcr1+ cDC1	-0.0611198507638983
Xcr1+ cDC1	0.210261717143224
Ccr7+ cDC1	-0.504619162404929
Xcr1+ cDC1	-0.103517977003818
Xcr1+ cDC1	-0.191019314027059
Xcr1+ cDC1	0.13214845344649
Ccr7+ cDC1	-0.384178405558316
Ccr7+ cDC1	0.0693173528815506
Ccr7+ cDC1	-0.511952991071288
Xcr1+ cDC1	0.0816773429111265
Cd209a+ cDC2	-0.0959806423600236
Xcr1+ cDC1	0.191386206924585
Xcr1+ cDC1	0.276318345832126
Mki67+ cDC	0.268115592577286
Cd209a+ cDC2	0.640149787693116
Cd209a+ cDC2	-0.400372640395365
Ccr7+ cDC1	-0.494626009037092
Xcr1+ cDC1	0.167619826540608
Cd209a+ cDC2	-0.232340884283319
Ccr7+ cDC1	-0.528775661092928
Xcr1+ cDC1	0.544476034140983
Ccr7+ cDC1	-0.0649690066995109
Cd209a+ cDC2	0.13056713552708
Xcr1+ cDC1	0.420413294711738
Cd209a+ cDC2	0.311863861151394
Xcr1+ cDC1	0.151627491070698
Mki67+ cDC	-0.00929435354497282
Cd209a+ cDC2	-0.331546422253544
Ccr7+ cDC1	-0.600626431086413
Xcr1+ cDC1	0.097894792103469
Ccr7+ cDC1	-0.543940519769407
Xcr1+ cDC1	0.437757179424255
Cd209a+ cDC2	-0.434850353851973
Cd209a+ cDC2	-0.233039034177075
Cd209a+ cDC2	-0.140882317409784
Ccr7+ cDC1	0.461506582084415
Mki67+ cDC	0.0257419705744872
Mki67+ cDC	-0.0199534100593938
Xcr1+ cDC1	0.152826556529745
Xcr1+ cDC1	-0.0767863010940926
Xcr1+ cDC1	0.139931342474383
Cd209a+ cDC2	0.187700839862559
Cd209a+ cDC2	-0.189609104230654
Xcr1+ cDC1	0.257250744427259
Mki67+ cDC	0.211371281453567
Mki67+ cDC	0.107400596289584
Xcr1+ cDC1	0.355894826378837
Ccr7+ cDC1	-0.223852036900988
Ccr7+ cDC1	-0.563601130651443
Mki67+ cDC	0.0829326613032322
Xcr1+ cDC1	0.0999499060796326
Xcr1+ cDC1	0.200556495325921
Mki67+ cDC	0.243869177647099
Cd209a+ cDC2	0.240093438362807
Cd209a+ cDC2	-0.368639231033171
