Cytokine	ES	pval	padj	Group
C3a	-1.018518971	0.435309372	0.693270481	Ccl5
C5a	-2.994821424	0.002537722	0.054561016	Ccl5
CD27L	-0.687676768	0.636358907	0.78525422	Ccl5
CD30L	0.038249548	0.981481011	0.993027847	Ccl5
CD40L	0.215814815	0.652129917	0.78525422	Ccl5
CT-1	-0.89689385	0.530836727	0.736321912	Ccl5
Decorin	-1.944081243	0.029385108	0.175798986	Ccl5
EGF	-2.140151854	0.031060974	0.175798986	Ccl5
FasL	-1.799899558	0.05047307	0.189804357	Ccl5
FGF-b	-1.750437479	0.048491401	0.189804357	Ccl5
FLT3L	-0.432803659	0.702171839	0.790183825	Ccl5
G-CSF	0.872246337	0.36986004	0.623685557	Ccl5
GDNF	0.669433973	0.546977548	0.746667765	Ccl5
GITRL	0.135033372	0.657422138	0.78525422	Ccl5
GM-CSF	1.798138604	0.03301862	0.175798986	Ccl5
HGF	-0.561897315	0.678761023	0.790183825	Ccl5
IFN-a1	2.994823019	0.006514119	0.096166306	Ccl5
IFN-b	4.307661917	0.000215165	0.006168049	Ccl5
IFN-g	-0.904610441	0.319405178	0.623685557	Ccl5
IFN-e	-0.84766504	0.521269599	0.734904681	Ccl5
IFN-k	0.795895103	0.351257533	0.623685557	Ccl5
IFN-l2	-0.576681889	0.485435184	0.725528167	Ccl5
IGF-1	-0.234423022	0.894063132	0.937675968	Ccl5
IL-10	-0.673261629	0.425006022	0.693270481	Ccl5
IL-11	1.338400467	0.133235986	0.381943161	Ccl5
IL-12	4.282893324	8.93974E-06	0.000384409	Ccl5
IL-13	-1.015083026	0.280696428	0.601954367	Ccl5
IL-15	2.821843152	0.006709277	0.096166306	Ccl5
IL-17A	-0.434148016	0.926994333	0.960500152	Ccl5
IL-17B	-0.727816652	0.638103294	0.78525422	Ccl5
IL-17C	-1.839917869	0.045195137	0.189804357	Ccl5
IL-17D	-1.783850977	0.053723969	0.19251089	Ccl5
IL-17E	-0.945124764	0.367913376	0.623685557	Ccl5
IL-17F	-0.30109797	0.735054721	0.790183825	Ccl5
IL-18	-4.759021555	3.30344E-06	0.000284096	Ccl5
IL-19	-0.877365967	0.48238342	0.725528167	Ccl5
IL-1Ra	-1.37687379	0.331425253	0.623685557	Ccl5
IL-1a	1.133877828	0.097844203	0.323638517	Ccl5
IL-1b	1.912371477	0.015828483	0.123749958	Ccl5
IL-2	-2.04673328	0.0256126	0.169437202	Ccl5
IL-20	-0.570951769	0.834518693	0.886032192	Ccl5
IL-21	-0.579537121	0.643348459	0.78525422	Ccl5
IL-22	-0.456029265	0.722205245	0.790183825	Ccl5
IL-23	0.403679649	0.601904623	0.78525422	Ccl5
IL-24	-0.954065105	0.33386392	0.623685557	Ccl5
IL-27	1.158108087	0.193222659	0.492983509	Ccl5
IL-3	0.65665767	0.514941183	0.734904681	Ccl5
IL-30	-1.938609551	0.05076163	0.189804357	Ccl5
IL-31	-0.287869448	0.977583214	0.993027847	Ccl5
IL-33	-0.577663059	0.475755239	0.725528167	Ccl5
IL-34	-0.522808573	0.735054721	0.790183825	Ccl5
IL-36Ra	-0.448516993	0.724036192	0.790183825	Ccl5
IL-36a	1.779855293	0.03529309	0.175798986	Ccl5
IL-4	-2.440433458	0.011459842	0.114380662	Ccl5
IL-5	1.076416708	0.15967356	0.440940377	Ccl5
